id,title,priority,domain,branch
EI-0001,GitHub CI verification,P0,delivery,feature/EI-0001-github-ci-verification
EI-0002,Branch protection and CODEOWNERS,P0,delivery,feature/EI-0002-branch-protection-and-codeowners
EI-0003,Amplify dev and Staging environments,P0,delivery,feature/EI-0003-amplify-dev-staging-environments
EI-0004,Automatic Staging promotion,P0,delivery,feature/EI-0004-automatic-staging-promotion
EI-0005,Production release gate,P0,delivery,feature/EI-0005-production-release-gate
EI-0006,Persona seed data,P0,testing,feature/EI-0006-persona-seed-data
EI-0007,End-to-end persona tests,P0,testing,feature/EI-0007-end-to-end-persona-tests
EI-0008,Release version and environment banner,P0,delivery,feature/EI-0008-release-version-and-environment-banner
EI-0101,Client dashboard,P0,workspace,feature/EI-0101-client-dashboard
EI-0102,Junior officer dashboard,P0,workspace,feature/EI-0102-junior-officer-dashboard
EI-0103,Intermediate advisor dashboard,P0,workspace,feature/EI-0103-intermediate-advisor-dashboard
EI-0104,Senior control centre,P0,workspace,feature/EI-0104-senior-control-centre
EI-0105,Developer diagnostics dashboard,P0,diagnostics,feature/EI-0105-developer-diagnostics-dashboard
EI-0106,Superuser administration dashboard,P0,administration,feature/EI-0106-superuser-administration-dashboard
EI-0107,Role-aware navigation and action visibility,P0,access,feature/EI-0107-role-aware-navigation-and-action-visibility
EI-0108,Profile completion and identity consistency,P0,access,feature/EI-0108-profile-completion-and-identity-consistency
EI-0201,My policy applications,P0,underwriting,feature/EI-0201-my-policy-applications
EI-0202,Resume asset application,P0,underwriting,feature/EI-0202-resume-asset-application
EI-0203,Application autosave and progress,P0,underwriting,feature/EI-0203-application-autosave-and-progress
EI-0204,Application document locker,P0,documents,feature/EI-0204-application-document-locker
EI-0205,Application withdrawal,P0,underwriting,feature/EI-0205-application-withdrawal
EI-0206,Underwriting assignment queue,P0,underwriting,feature/EI-0206-underwriting-assignment-queue
EI-0207,Structured underwriting review,P0,underwriting,feature/EI-0207-structured-underwriting-review
EI-0208,Formal quote document,P0,policies,feature/EI-0208-formal-quote-document
EI-0209,Quote expiry and acceptance,P0,policies,feature/EI-0209-quote-expiry-and-acceptance
EI-0210,Policy schedule generation,P0,policies,feature/EI-0210-policy-schedule-generation
EI-0301,Case task domain,P0,claims,feature/EI-0301-case-task-domain
EI-0302,Advisor my-work queue,P0,claims,feature/EI-0302-advisor-my-work-queue
EI-0303,Claim SLA countdown,P0,claims,feature/EI-0303-claim-sla-countdown
EI-0304,Unread and follow-up indicators,P0,claims,feature/EI-0304-unread-and-follow-up-indicators
EI-0305,Claim validation checklist,P0,claims,feature/EI-0305-claim-validation-checklist
EI-0306,Structured case escalation,P0,claims,feature/EI-0306-structured-case-escalation
EI-0307,Ready-for-decision checklist,P0,claims,feature/EI-0307-ready-for-decision-checklist
EI-0308,Advisor workload capacity,P0,claims,feature/EI-0308-advisor-workload-capacity
EI-0309,Bulk assignment and triage,P0,claims,feature/EI-0309-bulk-assignment-and-triage
EI-0310,Case handoff and absence cover,P0,claims,feature/EI-0310-case-handoff-and-absence-cover
EI-0401,Unassigned claims queue,P0,operations,feature/EI-0401-unassigned-claims-queue
EI-0402,Overdue SLA queue,P0,operations,feature/EI-0402-overdue-sla-queue
EI-0403,Failed communication queue,P0,operations,feature/EI-0403-failed-communication-queue
EI-0404,Unmatched inbound queue,P0,operations,feature/EI-0404-unmatched-inbound-queue
EI-0405,Structured decision reasons,P0,operations,feature/EI-0405-structured-decision-reasons
EI-0406,Financial authority limits,P0,operations,feature/EI-0406-financial-authority-limits
EI-0407,High-value dual approval,P0,operations,feature/EI-0407-high-value-dual-approval
EI-0408,Advisor performance and capacity,P0,operations,feature/EI-0408-advisor-performance-and-capacity
EI-0409,Audit event explorer,P0,audit,feature/EI-0409-audit-event-explorer
EI-0501,Correlation ID search,P0,diagnostics,feature/EI-0501-correlation-id-search
EI-0502,Processing job inspector,P0,diagnostics,feature/EI-0502-processing-job-inspector
EI-0503,Document scan diagnostics,P0,diagnostics,feature/EI-0503-document-scan-diagnostics
EI-0504,Communication delivery diagnostics,P0,diagnostics,feature/EI-0504-communication-delivery-diagnostics
EI-0505,Webhook and reconciliation diagnostics,P0,diagnostics,feature/EI-0505-webhook-and-reconciliation-diagnostics
EI-0506,Queue and alarm health,P0,diagnostics,feature/EI-0506-queue-and-alarm-health
EI-0507,Sanitized error inspection,P0,diagnostics,feature/EI-0507-sanitized-error-inspection
